Order,UID,School_ID,CDS_Code,char_prem_id,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,StudentEnrollment_mean,Staff,Student_Staff_Ratio,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,EEM,EE_Retrofit_Type,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median
74,4610000000000_82,4610000000000_82,4.61425E+12,2418406389,0.16,0.57,96.39,0,3.04,100,29.17,1963,45278,NA,NA,20.85,NA,NA,NA,NA,NA,NA,14.45,NA,NA,0,0,0,NA
75,4610000000000_83,4610000000000_83,4.61425E+12,2418409518,0.21,0,100,0,0,100,26.36,1936,43304,NA,NA,18.6,NA,NA,NA,42.25,19.73,39.52,43.1,NA,NA,0,0,0,NA
76,4610000000000_84,4610000000000_84,4.61425E+12,2418410561,0.19,0,100,0,0,100,27.92,1973,67148,NA,NA,16.02,NA,NA,NA,56.56,19.73,45.84,21.55,NA,NA,0,0,0,NA
77,4610000000000_85,4610000000000_85,4.61424E+12,2418428292,0.17,0,100,0,0,100,28.58,2019,39667,NA,NA,31.91,NA,NA,336,NA,NA,NA,35.7,NA,NA,0,0,0,NA
78,4610000000000_86,4610000000000_86,4.61424E+12,2418429335,0.17,0,100,0,0,100,28.86,1965,39667,NA,NA,46.62,NA,NA,336,NA,NA,NA,20.4,NA,NA,0,0,0,NA
79,4610000000000_88,4610000000000_88,4.61425E+12,2418436636,0.24,11.88,88.12,0,0,100,25.67,1953,97697,NA,NA,20.15,NA,NA,NA,56.56,19.73,33.87,18,NA,NA,0,1,0,NA
80,4610000000000_89,4610000000000_89,4.61425E+12,2418438722,0.18,0,100,0,0,100,28.82,1970,84485,NA,NA,23.89,NA,NA,NA,NA,NA,NA,34,NA,NA,0,0,0,NA
81,9620000000000_90,9620000000000_90,9.61979E+12,2429025397,0.22,0.32,16.96,13,69.73,100,27.79,1956,160438,NA,NA,18.09,NA,NA,NA,29.48,18.13,24.19,18.95,NA,NA,1,0,0,NA
82,9620000000000_91,9620000000000_91,9.61979E+12,2429028526,0.19,0,91.51,4.12,4.36,100,26.48,1981,115075,NA,NA,14.07,NA,NA,NA,19.68,18.13,17.09,13.25,NA,NA,1,0,0,NA
83,9620000000000_92,9620000000000_92,9.61978e+12,2429030612,0.19,0.32,81.36,3.24,15.07,100,27.79,1978,184936,NA,NA,NA,NA,NA,NA,34.49,18.13,20.54,15.05,Lighting- Interior Fixture Retrofit,Lighting,0,0,0,NA
