"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"65",183,"15700000000000_194",0.12,0,99.15,0,0.85,32.8,1930,36190,87.5,21.24,1523.5,59.59,27.08,49.45,18.55,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.57391e+13,"4805995918","15739086009765"
"66",194,"57700000000000_207",0.14,0,100,0,0,30.2,1986,88255,76.5,13.38,42.5,54.34,64.45,29.89,29.7,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"5335260609","57727106107163"
"67",195,"57700000000000_208",0.17,11.41,88.59,0,0,28.33,2010,34375,53.5,5.25,42.5,50.18,64.45,49.06,22.85,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"5335261652","57727100121749"
"68",196,"57700000000000_209",0.17,0,100,0,0,28.33,2010,34375,53.5,5.25,42.5,50.18,64.45,49.06,28.4,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"5335262695","57727100121749"
"69",197,"57700000000000_210",0.18,0,100,0,0,28.04,1958,87375,60,7.5,42.5,49.96,64.45,48.33,20.05,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"5335273125","57727106056444"
"70",198,"57700000000000_211",0.15,0,100,0,0,29.23,1954,48083,68,15.88,42.5,55.3,64.45,42.44,24.25,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"5335284598","57727106056519"
"71",200,"20700000000000_213",0.14,0,99.83,0,0.17,31.11,2016,48994,80,44.85,13,82.02,34.92,56.6,31.55,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.065201e+13,"5699817844","2.065201e+13"
"72",201,"20700000000000_214",0.14,0,82.35,3.24,4.62,31.11,2016,48994,83,4,205,67.1,34.92,43.23,31.55,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.065201e+13,"5699828274","2.065201e+13"
"73",204,"41700000000000_217",0.19,0,100,0,0,24.77,1953,179722,63.5,8.73,645,21.78,51.16,33.39,26,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"5918476046","41690396044986"
"74",205,"41700000000000_218",0.14,0,99.84,0,0.16,27.1,1940,150685,31.5,11.28,161,31.27,51.16,47.52,12.45,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"5918477089","41690396044853"
"75",206,"41700000000000_219",0.08,0,100,0,0,28.14,1993,88869,47,11.11,85.5,42.33,51.16,50.81,11.45,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"5918480218","41690396044887"
"76",207,"41700000000000_220",0.16,0,75.97,10.42,13.6,25.46,1968,179000,18.5,8.3,241,27.33,51.16,24.64,10.35,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"5918484390","41690396044911"
"77",208,"41700000000000_221",0.15,0,98.41,1.43,0.16,26.76,1954,229625,41,15.1,164,42.33,51.16,26.38,16.3,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"5918486476","41690396044796"
"78",209,"41700000000000_224",0.2,3.67,78.12,4.63,13.58,20.84,1978,228106,21,6.27,336,38.38,51.16,28.04,9.15,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16889e+13,"6041457120","41688906043632"
"79",210,"41700000000000_225",0.06,4.7,95.3,0,0,26.9,2006,141157,27,13.5,645,19.18,51.16,42.51,12.85,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.169039e+13,"6053520214","4.169039e+13"
"80",211,"41700000000000_226",0.19,0.32,88.48,10.64,0.56,24.41,1954,136406,6,14.22,55,21.73,51.16,16.17,44.2,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16887e+13,"6129989403","41688666043483"
"81",212,"41700000000000_227",0.09,11.17,88.83,0,0,26.68,1994,158958,8,8.67,199,19.18,51.16,31.41,5.85,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"6230550343","41690396112650"
"82",213,"41700000000000_228",0.08,12.96,84.86,0,2.18,25.41,1994,150556,7,11.41,241,19.18,51.16,20.34,5.5,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16904e+13,"6292376283","41690396044861"
"83",215,"17600000000000_230",0.17,0,100,0,0,29.22,1921,50958,64.5,13.19,1894.5,69.99,20.46,35.75,27.85,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.76401e+13,"6319398243","17640141734359"
"84",216,"27700000000000_231",0.21,0.24,87.56,4.57,7.62,24.54,1949,91056,82,15.49,112.5,49.92,39.52,46.89,40.1,0,0,0,"Lighting- CFL Lamp Retrofit","Lighting",2.77383e+13,"6356089705","27738256026447"
"85",217,"27700000000000_232",0.12,10.86,63.74,0,25.4,23.3,1965,89506,85.5,23.77,241,59.6,39.52,41.36,38.25,0,0,0,"Lighting- CFL Lamp Retrofit","Lighting",2.77383e+13,"6356103264","27738256026421"
