"","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi"
"19647300000000_959",0.23,0,95.63,0,4.37,37.74,1990,108056,80,13.93,336,21.23,34.92,44.74,25.35,1,0,0
"30665600000000_1666",0.23,0,100,0,0,40.33,1995,106528,19,17.5,220,47.28,22.48,61.59,20.25,1,0,0
"33752000000000_2103",0.23,0,96.96,0,3.04,39.59,2009,105833,40,57.42,241,39.25,31.72,38,32.2,1,0,0
"30664700000000_298",0.24,0,99.92,0,0.08,37.84,1991,107637,54,6.94,13,50.98,22.48,43.48,9.5,0,1,0
"30664700000000_299",0.24,0,100,0,1.99,37.84,2014,107637,54,6.94,13,50.98,22.48,43.48,9.5,0,1,0
"36677100000000_469",0.24,0,100,0,0,39.79,1936,101056,82,15,205,62.8,34.44,42.74,32.5,0,1,0
"30665200000000_486",0.24,0,100,0,0,37.05,1958,100071,66,14.09,241,33.32,22.48,51.33,21.15,0,1,0
"30665200000000_487",0.24,3.67,93.06,0,0,37.05,1907,100071,66,14.09,241,33.32,22.48,51.33,21.15,0,1,0
"30665200000000_488",0.24,0,100,0,0,37.08,2009,100071,66,14.09,241,33.32,22.48,51.33,21.15,0,1,0
"36676780000000_752",0.24,0,100,0,0,38.09,1963,102375,0,9.32,129,45.64,34.44,39.46,18.05,0,1,0
"30665200000000_2327",0.24,0,100,0,0,37.64,2002,105179,66,11.92,13,47.17,22.48,51.08,13.3,0,1,0
"30665200000000_2328",0.24,1.23,100,0,0,37.64,1923,105179,66,22.94,241,47.17,22.48,51.08,12.25,0,1,0
"33752400000000_3641",0.24,1.52,97.69,0,0.8,37.22,1992,105921,80,22.15,14.5,61.16,31.72,30.76,43.75,0,1,0
"30666100000000_3725",0.24,0,100,0,0,36.14,1954,107212,35,20.14,38.5,34.99,22.48,52.06,27.45,0,1,0
"30665200000000_315",0.25,0.24,98.01,0,1.75,37.91,2005,101098,66,10.19,241,39.13,22.48,48.24,22.5,0,1,0
"56726500000000_320",0.25,0,99.2,0.24,0.56,32.8,1962,100227,60,16.8,241,44.9,26.69,45.6,15.15,0,1,0
"33751800000000_354",0.25,4.93,49.13,0,45.95,38.97,2002,106212,64,36.81,32.5,39.57,31.72,21.8,19.95,0,1,0
"19643800000000_460",0.25,0,94.63,0,5.37,38.78,1959,106304,65,40.79,205,47.7,34.92,37.48,10.35,0,1,0
"19643800000000_461",0.25,0,100,0,9.84,38.78,1959,106304,65,40.79,205,47.7,34.92,37.48,10.35,0,1,0
"19757100000000_933",0.25,0,100,0,0,40.03,1931,101995,59,22.46,278.5,29.52,34.92,58.13,18.05,0,1,0
"30665200000000_1695",0.25,0,100,0,0,37.14,2004,100071,66,14.86,1894.5,33.32,22.48,51.33,14.65,0,1,0
"19643800000000_2432",0.25,0,100,0,0,38.97,2017,102955,65,7.99,241,46.73,34.92,43.63,25.5,0,1,0
"19648400000000_2624",0.25,0,100,0,0,39.55,1992,103438,81,49.63,241,57.55,34.92,50.45,17.65,0,1,0
"30664700000000_2906",0.25,0,100,0,0,37.67,1970,108904,54,11.44,42.5,47.64,22.48,55.71,17.45,0,1,0
"30664700000000_2907",0.25,0,100,0,0,37.67,1998,108904,54,11.44,336,47.64,22.48,55.71,17.45,0,1,0
"30664700000000_2908",0.25,0,100,0,0,37.58,1865,108904,54,11.44,13,50.98,22.48,43.48,17.45,0,1,0
"30664700000000_2909",0.25,0,83.47,0,6.28,37.58,2003,108904,54,11.44,42,50.98,22.48,43.48,17.45,0,1,0
"33670900000000_3245",0.25,0,97.22,0,2.78,39.46,2003,107971,48,10.96,13,42.63,31.72,37.69,19.65,0,1,0
"19643000000000_963",0.26,0,99.36,0,0.64,37.49,2014,104375,90,12.9,241,28.05,34.92,45.43,16.05,0,1,0
"19651000000000_1293",0.26,0,97.46,0,2.54,39.6,1993,105357,60,30.66,205,48.08,34.92,21.71,20.5,0,1,0
"30665100000000_1612",0.26,0,100,0,0,37.67,1997,108833,27,39.73,278.5,46.3,22.48,41.96,53.2,0,1,0
"19648400000000_1767",0.26,0,99.49,0,0.51,38.04,1997,106250,81,8.52,13,57.55,34.92,46.59,14.7,0,1,0
"19648400000000_1768",0.26,0,81.75,0,0.78,38.04,1997,106250,81,8.52,13,57.55,34.92,46.59,14.7,0,1,0
"30666100000000_1861",0.26,0,95.39,0,4.61,33.99,1961,106875,35,13.03,13,33.38,22.48,36.79,18.05,0,1,0
"19647700000000_1864",0.26,0,100,0,0,38.36,1999,100450,39,17.07,241,60.14,34.92,54.21,25.05,0,1,0
"19643000000000_1902",0.26,0,100,0,0,37.01,2001,104375,90,64.13,241,28.05,34.92,45.43,9.3,0,1,0
"19643000000000_1903",0.26,0,82.88,0,0,37.01,1999,104375,90,64.13,13,28.05,34.92,45.43,9.3,0,1,0
"19647900000000_2074",0.26,0,100,0,0,39.22,2000,102708,61,1.5,1894.5,28.74,34.92,53.95,28.3,0,1,0
"30664500000000_2658",0.26,0,90.71,0,9.29,40.1,1954,101250,30,15.77,1894.5,34.21,22.48,59.1,8.15,0,1,0
"36676500000000_2680",0.26,0,98.1,0,1.9,37.47,2011,108884,78,68.57,42,61.81,34.44,56.74,50.05,0,1,0
"33670900000000_2796",0.26,0.16,85.04,0,14.8,39.46,1958,100761,48,14.15,1894.5,54.14,31.72,61.31,29.7,0,1,0
"33670900000000_2797",0.26,0,100,0,0,39.46,1958,100761,48,14.15,336,54.14,31.72,61.31,29.7,0,1,0
"19651000000000_2899",0.26,0,85.22,0,14.78,39.66,2013,105357,60,17.61,205,48.08,34.92,21.71,24.3,0,1,0
"56725600000000_2962",0.26,0,99.7,0,0.3,35.49,2000,106092,58,18.95,241,62.54,26.69,40.54,28,0,1,0
